Cod_setor;Situacao_setor;V001;V002;V003;V004;V005;V006;V007;V008;V009;V010;V011;V012;V013;V014;
330010005000001;1;0;606855;606855;0;0;2;5;14;37;32;29;25;5;7;
330010005000002;1;0;245530;245530;0;0;0;3;7;12;13;14;5;2;1;
330010005000003;1;0;1513128;1513128;0;0;1;7;45;106;65;57;43;17;2;
330010005000004;1;0;384352;384352;0;0;0;2;8;16;7;17;16;2;4;
330010005000005;1;0;420537;420537;0;1;9;21;69;75;20;11;1;0;5;
330010005000006;1;0;530403;530403;0;1;5;25;73;81;25;22;10;0;7;
330010005000007;1;0;608788;608788;0;2;10;48;140;109;35;10;0;0;7;
330010005000008;1;0;572289;572289;0;1;5;34;89;88;22;13;6;2;1;
330010005000009;1;0;799224;799224;0;0;3;10;33;78;48;39;23;7;9;
330010005000010;1;0;667995;667995;0;0;3;8;33;49;31;36;27;2;6;
330010005000011;1;0;725586;725586;0;1;4;19;86;110;30;28;13;2;9;
330010005000012;1;0;548888;548888;0;0;6;35;115;104;25;16;3;0;7;
330010005000013;1;3;593574;589900;3674;0;0;10;65;77;27;27;11;1;10;
330010005000014;1;0;315432;315432;0;1;4;33;63;57;17;8;0;0;18;
330010005000015;1;0;858731;858731;0;0;3;19;62;96;36;29;20;3;5;
330010005000016;1;0;302888;302888;0;4;4;25;55;40;15;17;0;0;14;
330010005000017;1;0;471905;471905;0;1;10;28;76;104;32;15;3;0;25;
330010005000018;1;0;659384;659384;0;2;8;35;140;133;36;10;6;0;8;
330010005000019;1;0;596169;596169;0;4;12;54;154;108;28;10;2;0;5;
330010005000020;1;0;565594;565594;0;0;3;21;48;75;36;27;9;4;15;
330010005000021;1;0;692945;692945;0;0;5;35;75;94;36;22;10;2;49;
330010005000022;1;0;1527022;1527022;0;1;5;11;50;75;46;66;46;25;22;
330010005000023;1;0;2371904;2371904;0;0;4;6;21;30;95;120;119;35;28;
330010005000024;1;0;964549;964549;0;0;1;7;11;18;17;30;38;22;6;
330010005000025;1;0;490925;490925;0;4;15;42;81;57;17;9;4;6;3;
330010005000026;1;0;182151;182151;0;7;10;31;50;17;8;6;0;0;5;
330010005000027;1;0;47089;47089;0;1;6;13;16;6;1;0;0;0;3;
330010005000028;1;0;675188;675188;0;8;23;74;150;131;40;3;1;0;5;
330010005000029;1;0;437449;437449;0;3;9;29;94;93;16;11;3;0;8;
330010005000030;1;0;157118;157118;0;0;0;5;15;33;12;4;1;0;3;
330010005000031;1;0;1594683;1594683;0;0;9;48;97;118;36;31;40;28;8;
330010005000032;1;0;1194958;1194958;0;0;0;5;22;51;32;67;43;22;0;
330010005000033;1;0;186900;186900;0;0;0;0;0;3;3;5;11;1;0;
330010005000034;1;0;61140;61140;0;0;1;4;6;6;2;2;2;0;1;
330010005000035;1;0;709558;709558;0;0;2;9;30;54;26;30;30;6;6;
330010005000036;1;0;242093;242093;0;1;1;5;14;19;10;9;11;1;4;
330010005000037;1;0;443468;443468;0;0;2;23;69;42;16;14;9;3;1;
330010005000038;1;0;170001;170001;0;0;0;4;12;11;5;5;3;3;5;
330010005000040;2;0;22060;22060;0;0;0;0;2;10;1;0;0;0;0;
330010005000041;1;0;338272;338272;0;0;2;15;60;46;20;6;7;0;3;
330010005000044;1;0;241250;241250;0;0;3;21;38;32;12;4;3;1;23;
330010005000045;1;0;723398;723398;0;0;21;82;201;132;17;6;4;0;7;
330010005000046;1;0;705185;705185;0;7;8;37;93;126;40;21;9;0;14;
330010005000047;1;1;356602;354602;2000;0;6;19;46;61;21;8;6;0;9;
330010005000048;1;0;784056;784056;0;0;4;50;112;120;33;26;12;1;11;
330010005000049;1;0;433975;433975;0;0;3;12;44;65;20;19;6;2;5;
330010005000050;1;0;177818;177818;0;0;1;9;29;33;20;8;0;0;4;
330010005000051;1;0;348011;348011;0;3;17;53;110;56;12;1;5;0;14;
330010005000052;1;0;368855;368855;0;1;8;38;58;63;20;11;5;4;3;
330010005000053;2;0;98221;98221;0;0;0;6;16;21;6;2;0;0;1;
330010005000054;1;0;496122;496122;0;1;11;45;100;88;14;10;1;0;27;
330010005000055;1;0;1167342;1167342;0;2;3;31;87;133;54;39;34;4;4;
330010005000056;1;0;559240;559240;0;3;6;34;116;104;32;9;1;0;20;
330010005000057;1;0;423693;423693;0;2;5;35;78;81;20;12;0;0;10;
330010005000058;1;0;626306;626306;0;1;3;19;66;100;39;18;8;1;3;
330010005000059;1;0;350323;350323;0;1;0;13;40;66;14;17;3;2;20;
330010005000060;1;0;667157;667157;0;7;9;71;146;109;30;15;3;1;12;
330010005000061;1;0;533254;533254;0;0;6;35;60;74;27;20;6;0;6;
330010005000062;1;1;1158643;1156643;2000;3;4;22;49;103;61;56;30;5;9;
330010005000063;1;0;595605;595605;0;0;2;13;30;58;35;36;10;2;11;
330010005000064;1;0;524386;524386;0;0;2;8;34;57;23;21;14;3;2;
330010005000065;1;0;878026;878026;0;0;5;10;47;97;49;25;15;3;1;
330010005000066;1;0;47760;47760;0;0;0;0;3;9;1;2;0;0;5;
330010005000067;1;0;629100;629100;0;3;6;31;69;90;27;22;2;0;10;
