Cod_setor;Situacao_setor;V001;V002;V003;V004;V005;V006;V007;V008;V009;V010
330010005000001;1;4;0;0;0;0;6;0;0;0;0
330010005000002;1;3;0;0;0;0;1;0;0;0;0
330010005000003;1;18;2;1;6;0;14;0;1;1;0
330010005000004;1;3;0;0;0;0;4;1;0;0;0
330010005000005;1;18;0;0;7;0;15;0;0;4;0
330010005000006;1;9;0;0;5;0;9;0;0;6;0
330010005000007;1;22;3;0;19;0;21;1;0;10;0
330010005000008;1;21;0;0;9;0;21;2;0;7;0
330010005000009;1;7;0;0;3;0;4;0;0;0;0
330010005000010;1;5;0;0;2;0;12;0;0;4;0
330010005000011;1;15;0;0;0;0;14;1;0;1;0
330010005000012;1;20;0;0;6;0;18;2;0;6;0
330010005000013;1;11;4;0;5;0;12;1;0;2;0
330010005000014;1;15;3;0;13;0;5;2;0;5;0
330010005000015;1;14;0;0;5;0;18;2;0;10;0
330010005000016;1;11;1;0;7;0;14;0;0;2;0
330010005000017;1;10;0;0;8;0;8;0;2;1;0
330010005000018;1;20;1;0;11;0;28;1;0;12;0
330010005000019;1;22;2;0;15;0;22;3;0;14;0
330010005000020;1;13;0;0;3;0;12;0;0;3;0
330010005000021;1;18;0;0;4;0;15;0;0;2;0
330010005000022;1;7;1;0;5;0;18;1;0;1;0
330010005000023;1;20;0;0;5;0;29;0;0;5;0
330010005000024;1;6;0;0;2;0;13;1;0;1;0
330010005000025;1;20;0;0;13;0;17;0;0;8;0
330010005000026;1;9;0;0;6;0;21;0;0;8;0
330010005000027;1;4;0;0;6;0;1;0;0;4;0
330010005000028;1;29;2;0;19;0;24;2;1;16;0
330010005000029;1;19;1;0;15;0;23;0;0;10;0
330010005000030;1;5;0;0;0;0;3;0;0;0;0
330010005000031;1;26;3;0;5;0;15;0;0;9;0
330010005000032;1;14;0;0;3;0;12;0;0;2;0
330010005000033;1;1;0;0;1;0;3;0;0;2;0
330010005000034;1;0;0;0;0;0;2;0;0;0;0
330010005000035;1;11;0;0;1;0;10;0;0;4;0
330010005000036;1;2;0;0;0;0;6;0;0;4;0
330010005000037;1;17;0;0;1;0;14;0;0;4;0
330010005000038;1;3;1;0;1;0;2;0;0;3;0
330010005000040;2;0;0;0;0;0;0;0;0;0;0
330010005000041;1;6;1;0;2;0;18;0;0;8;0
330010005000044;1;7;0;0;1;0;9;0;0;5;0
330010005000045;1;34;1;2;15;0;30;1;0;20;0
330010005000046;1;13;2;0;6;0;23;1;1;10;0
330010005000047;1;12;0;0;1;0;9;1;0;4;0
330010005000048;1;16;1;1;13;0;18;3;0;12;1
330010005000049;1;9;0;0;2;0;9;0;0;2;0
330010005000050;1;7;1;0;3;0;3;1;0;0;0
330010005000051;1;8;0;0;18;0;23;6;0;19;0
330010005000052;1;13;1;0;12;0;13;3;0;9;0
330010005000053;2;2;0;0;1;0;2;0;0;1;0
330010005000054;1;26;0;0;12;0;20;2;0;8;0
330010005000055;1;17;2;0;6;0;19;1;0;7;0
330010005000056;1;17;1;0;12;0;28;0;2;7;0
330010005000057;1;17;0;0;10;0;11;3;0;14;0
330010005000058;1;19;0;0;8;0;14;0;2;9;0
330010005000059;1;12;0;0;2;0;4;0;0;8;0
330010005000060;1;38;1;0;25;0;37;0;0;22;0
330010005000061;1;11;0;0;20;0;12;1;1;14;0
330010005000062;1;24;1;0;7;0;16;2;3;7;0
330010005000063;1;12;0;0;3;0;7;1;0;5;0
330010005000064;1;2;0;0;5;0;7;0;0;7;0
330010005000065;1;18;1;0;6;0;17;0;0;8;0
330010005000066;1;1;0;0;1;0;2;0;0;0;0
330010005000067;1;13;2;0;12;0;27;3;0;10;0
330010005000068;1;20;1;1;8;0;20;1;0;7;0
330010005000069;1;14;1;0;12;0;14;4;0;14;0
330010005000070;1;4;1;0;3;0;6;1;0;1;0
330010005000071;1;15;2;0;5;0;14;1;0;7;0
330010005000072;1;10;0;0;12;0;10;1;0;5;0
330010005000073;1;17;0;0;17;0;18;0;0;12;0
330010005000074;1;6;0;0;9;0;6;0;0;5;0
330010005000075;1;22;1;0;16;0;28;0;1;18;0
330010005000076;1;20;2;0;5;0;15;2;0;12;0
330010005000077;1;14;0;0;12;0;18;0;0;16;0
330010005000078;1;15;3;0;17;0;22;0;0;12;0
330010005000079;1;25;0;0;11;0;21;1;1;11;0
330010005000080;1;14;0;0;7;0;15;2;0;6;0
330010005000081;1;7;0;0;4;0;8;0;1;5;0
330010005000082;1;8;0;0;1;0;5;0;0;4;0
330010005000083;1;7;0;0;3;0;12;1;2;4;0
330010005000084;1;3;0;0;0;0;3;0;0;4;0
330010005000085;1;0;0;0;0;0;0;0;0;1;0
330010005000086;1;11;0;0;3;0;8;1;0;11;0
330010005000087;1;9;0;0;3;0;9;1;0;2;0
330010005000088;1;13;1;0;6;0;10;0;0;9;0
330010005000089;1;4;0;0;1;0;6;0;0;0;0
330010005000090;1;17;1;0;5;0;10;1;0;4;0
330010005000091;1;0;0;0;0;0;0;0;0;0;0
330010005000092;1;35;0;1;11;0;26;0;0;23;0
330010005000093;1;4;1;0;4;0;6;0;0;3;0
